Player,Games Played,Total Points,Score/Game,Total Goals,Goals/Game,Total Assists,Assists/Game,Total Saves,Saves/Game,Total Shots,Shots/Game,Shot Percentage,Goal Participation
Ango Gobloggian,6,1968,328,3,0.5,1,0.17,9,1.5,9,1.5,33.33%,80.00%
Avj,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ayudah,8,561,70.13,0,0,0,0,4,0.5,2,0.25,0.00%,0.00%
Banditopistoleto,3,1073,357.67,3,1,4,1.33,3,1,9,3,33.33%,53.85%
Baylers_,8,2168,271,5,0.63,0,0,7,0.88,17,2.13,29.41%,83.33%
Bisbeaux,8,3176,397,7,0.88,5,0.63,10,1.25,27,3.38,25.93%,80.00%
Burwash,8,2495,311.88,5,0.63,4,0.5,5,0.63,20,2.5,25.00%,128.57%
Canti,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain Jiffy,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Flask,5,1606,321.2,1,0.2,3,0.6,6,1.2,13,2.6,7.69%,0
Freakyfreeze,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
funksider,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Granwe,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Grave,8,3557,444.63,8,1,11,1.38,15,1.88,19,2.38,42.11%,73.08%
Henrizzle,5,2077,415.4,2,0.4,1,0.2,11,2.2,12,2.4,16.67%,0
Herostratodon,8,2096,262,3,0.38,8,1,3,0.38,19,2.38,15.79%,73.33%
Huskies,3,780,260,0,0,1,0.33,5,1.67,2,0.67,0.00%,25.00%
inevitably,6,938,156.33,1,0.17,0,0,6,1,4,0.67,25.00%,20.00%
Inferno,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayberks <3,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
jhag56,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Juke,7,3785,540.71,17,2.43,3,0.43,4,0.57,29,4.14,58.62%,83.33%
K.Doughboy,3,709,236.33,2,0.67,1,0.33,2,0.67,5,1.67,40.00%,75.00%
Keel,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kolbyb121,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Krumpetslol,6,1323,220.5,1,0.17,2,0.33,4,0.67,8,1.33,12.50%,60.00%
Lub,8,3122,390.25,10,1.25,4,0.5,9,1.13,31,3.88,32.26%,200.00%
Mick,8,3306,413.25,9,1.13,9,1.13,8,1,32,4,28.13%,60.00%
Micro,8,1774,221.75,4,0.5,6,0.75,6,0.75,8,1,50.00%,142.86%
Mikeee,7,1912,273.14,3,0.43,4,0.57,7,1,13,1.86,23.08%,29.17%
Mukky,8,3999,499.88,13,1.63,5,0.63,9,1.13,30,3.75,43.33%,120.00%
Munk,8,2804,350.5,9,1.13,5,0.63,8,1,22,2.75,40.91%,53.85%
Nelly,5,2078,415.6,6,1.2,4,0.8,6,1.2,12,2.4,50.00%,0
Nirosat,3,1232,410.67,4,1.33,4,1.33,2,0.67,10,3.33,40.00%,66.67%
nosealwaysknows,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Not Jace.,3,1517,505.67,5,1.67,3,1,4,1.33,13,4.33,38.46%,66.67%
Ox,8,3268,408.5,9,1.13,4,0.5,14,1.75,20,2.5,45.00%,50.00%
Physhhy,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Piglet9303,5,1497,299.4,3,0.6,4,0.8,6,1.2,13,2.6,23.08%,0
Qrouton,3,1522,507.33,5,1.67,3,1,4,1.33,12,4,41.67%,61.54%
Raithe,5,2056,411.2,5,1,1,0.2,8,1.6,13,2.6,38.46%,0
Ranger,9,3852,428,8,0.89,3,0.33,17,1.89,22,2.44,36.36%,110.00%
Red Baron,7,1772,253.14,4,0.57,7,1,2,0.29,12,1.71,33.33%,45.83%
rex.,3,891,297,3,1,0,0,1,0.33,9,3,33.33%,25.00%
rice cooka,3,1008,336,5,1.67,0,0,2,0.67,6,2,83.33%,38.46%
Ripshark,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Rydog,5,1814,362.8,4,0.8,2,0.4,7,1.4,16,3.2,25.00%,0
S,3,654,218,1,0.33,0,0,3,1,4,1.33,25.00%,25.00%
Saucy,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Sheptastiic,8,2557,319.63,5,0.63,3,0.38,12,1.5,18,2.25,27.78%,80.00%
Sir Fredalot,8,2149,268.63,8,1,3,0.38,3,0.38,15,1.88,53.33%,36.67%
Sir Magic,9,1718,190.89,4,0.44,5,0.56,4,0.44,7,0.78,57.14%,90.00%
SmashleyFC,3,736,245.33,2,0.67,1,0.33,2,0.67,6,2,33.33%,75.00%
Spanky,3,798,266,1,0.33,0,0,4,1.33,3,1,33.33%,25.00%
TheGreatKaBryan,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Toad Death,3,1089,363,2,0.67,0,0,7,2.33,7,2.33,28.57%,50.00%
Tysaur,8,3570,446.25,13,1.63,6,0.75,5,0.63,35,4.38,37.14%,63.33%
Wildwolf,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Wreck,8,3351,418.88,3,0.38,2,0.25,16,2,15,1.88,20.00%,83.33%
